Informazioni cronologiche,Indirizzo email,autore,titolo,editrice,costo,n_pagine,ISBN,biografia_autore,url_foto_copertina,sottotitolo,luogo_pubblicazione,anno_pubblicazione
14/05/2018 1.05.01,,Luigi Lombardo,L'impresa della neve in Sicilia,Le Fate Editore,,344,9788894097672,,https://farm1.staticflickr.com/827/41107830765_0e71f52412_z.jpg,Tra lusso e consumo di massa,Ragusa,2018
14/05/2018 0.35.38,,"Mimmarosa Barresi, Lorenza Scilipoti",Ghiaccio a colazione,Giambra Editori,,132,9788898311590,,https://farm1.staticflickr.com/827/41107828235_b45e9dcaee_z.jpg,Le neviere al Colle del Re per servire Barcellona Pozzo di Gotto e il suo territorio,Terme Vigliatore (ME),2015
15/05/2018 1.31.57,,"Luigi Messina, Giulia Falco, Carmela Cappa",I percorsi della neve,Regione Siciliana,,31,9788861643710,,https://farm1.staticflickr.com/953/40309006900_df935989f7_z.jpg,raccolta commercio consumo,Palermo,2015
14/05/2018 0.52.13,,Antonio Patanè,I viaggi della neve,Associazione Mediterranea,,128,9788896661703,,https://farm1.staticflickr.com/968/41107829225_86636e4b48_z.jpg,"Raccolta, commercio e consumo della neve dell'Etna nei secoli XVII - XX",Palermo,2013
14/05/2018 0.47.19,,Pippo Lo Cascio,Scale Neviere Trazzere,ISSPE - Istituto Siciliano Studi Politici ed Economici,,220,,,https://farm1.staticflickr.com/949/41107828775_9a01ff8b01_z.jpg,"Le vie storiche di comunicazione, commerci ed economie della provincia palermitana, tra i secoli XIV - XIX",Palermo,2012
14/05/2018 1.08.16,,Luigi Romana,Neviere e nevaioli,Parco delle Madonie,,312,,,https://farm1.staticflickr.com/943/41107831685_407e5ebb5e_z.jpg,La conserva e il commercio della neve nella Sicilia centro-occidentale (1500 - 1900),Petralia Sottana (PA),2007
14/05/2018 1.02.30,,Luigi Lombardo,La via del freddo,in proprio,,47,,,https://farm1.staticflickr.com/978/41107830315_9d1b1c293a_z.jpg,Itinerari fra le neviere di Buccheri e dell'Altipiano ibleo siracusano,Siracusa,2006
14/05/2018 0.58.15,,Giuseppe Cultrera,L'industria della neve,Utopia Edizioni,,127,,,https://farm1.staticflickr.com/827/41107829795_f8596b9581_z.jpg,Neviere degli Iblei,Chiaramonte Gulfi (RG),2001
